epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.0736,1.25,1.43688,1.1486,0.92139,0.88638,0.91608,0.55056,1.28438,0.88244,1.19489,0.000665158,0.000665158,0.000665158
2,110.673,1.25506,0.83607,1.15196,0.92521,0.86234,0.91308,0.56511,1.28548,0.78757,1.21002,0.0012659,0.0012659,0.0012659
3,162.582,1.24275,0.75013,1.1453,0.94649,0.86228,0.92211,0.60316,1.23834,0.71206,1.15983,0.00180064,0.00180064,0.00180064
4,212.43,1.22483,0.7152,1.13208,0.96139,0.89021,0.93909,0.62033,1.20247,0.65628,1.14957,0.001703,0.001703,0.001703
5,261.567,1.19204,0.67058,1.11981,0.96629,0.90119,0.94106,0.63789,1.17138,0.59702,1.12696,0.001604,0.001604,0.001604
6,311.427,1.17719,0.63547,1.11225,0.96717,0.91162,0.95054,0.64752,1.15594,0.55747,1.10302,0.001505,0.001505,0.001505
7,361.317,1.16736,0.6172,1.11274,0.96834,0.90979,0.94892,0.65001,1.16576,0.55487,1.11826,0.001406,0.001406,0.001406
8,414.181,1.1467,0.59662,1.09754,0.97443,0.9203,0.95776,0.66659,1.1621,0.53072,1.1,0.001307,0.001307,0.001307
9,466.12,1.14495,0.5819,1.08514,0.98256,0.92402,0.9629,0.65866,1.1364,0.51931,1.08948,0.001208,0.001208,0.001208
10,518.426,1.1196,0.56161,1.07553,0.97496,0.92223,0.95874,0.66666,1.12428,0.49812,1.08177,0.001109,0.001109,0.001109
11,590.884,1.11856,0.52129,1.09127,0.97766,0.917,0.95652,0.65718,1.13614,0.53235,1.09729,0.00101,0.00101,0.00101
12,640.976,1.10959,0.50886,1.09375,0.97935,0.93257,0.96229,0.66189,1.13385,0.50909,1.08616,0.000911,0.000911,0.000911
13,690.317,1.09284,0.49297,1.08204,0.9863,0.92027,0.96422,0.67642,1.11629,0.50608,1.07506,0.000812,0.000812,0.000812
14,741.022,1.08917,0.47748,1.0758,0.97515,0.92301,0.96134,0.671,1.114,0.47798,1.07189,0.000713,0.000713,0.000713
15,799.096,1.0762,0.46913,1.07149,0.98601,0.91845,0.96572,0.69036,1.09853,0.47445,1.06352,0.000614,0.000614,0.000614
16,852.319,1.06301,0.45862,1.06233,0.98521,0.92938,0.96505,0.68917,1.0827,0.45665,1.05114,0.000515,0.000515,0.000515
17,907.41,1.05219,0.43966,1.05316,0.98349,0.93713,0.96983,0.69404,1.0822,0.45176,1.05513,0.000416,0.000416,0.000416
18,965.636,1.03467,0.42851,1.04915,0.97728,0.93941,0.97143,0.69517,1.07148,0.43848,1.04503,0.000317,0.000317,0.000317
19,1017.49,1.0236,0.41673,1.03868,0.98557,0.93362,0.97189,0.69963,1.06063,0.42701,1.04385,0.000218,0.000218,0.000218
20,1068.57,1.01273,0.4032,1.03404,0.98516,0.93771,0.97068,0.70322,1.06198,0.41622,1.04276,0.000119,0.000119,0.000119
